Call_ID,Transcript_Text,Category,Keywords_Found,asks_for_otp,asks_for_email_password,asks_to_click_link,asks_remote_access,uses_urgency,claims_authority,has_email,has_otp_like_number,Label
C001,"Sir, we have sent a 6-digit OTP 123456 to your mobile, please read it out for verification.",Banking_Fraud,"otp,verify otp",1,0,0,0,0,1,0,1,1
C002,Please open your Gmail and tell me the code in the mail so I can confirm your account.,Tech_Support_Scam,"gmail,email,code",0,1,0,0,0,1,1,0,1
C003,"Congratulations! You have won Rs. 10,000, click the link to claim your voucher now.",Prize_Lottery_Scam,"won,rs,click link,claim prize",0,0,1,0,1,0,0,0,1
C004,"This is HDFC bank calling — your account is blocked due to suspicious transaction, share OTP to reactivate.",Banking_Fraud,"account blocked,otp",1,0,0,0,1,1,0,0,1
C005,"Hello sir, your system has a virus, install AnyDesk and let me access your screen to fix it.",Tech_Support_Scam,"anydesk,remote access",0,0,0,1,0,1,0,0,1
C006,"Good morning, I want to check my loan EMI schedule, can you tell me the due date?",Legit_Call,loan emi,0,0,0,0,0,0,0,0,0
C007,Aapka KYC verification pending hai. Account block hone se pehle OTP share kijiye.,Banking_Fraud,"kyc,account blocked,otp,share otp",1,0,0,0,1,1,0,0,1
C008,Ma'am you have a refund of Rs. 5000 on Paytm. Please accept the UPI request to receive money.,UPI_Payment_Scam,"refund,rs,paytm,upi",0,0,1,0,0,0,0,0,1
C009,Police complaint file hui hai aapke naam pe. Jaldi se details verify karo warna action hoga.,Threat_Legal,"police complaint,urgent",0,0,0,0,1,1,0,0,1
C010,"Your loan of Rs. 1,00,000 is approved. Just pay Rs. 2000 processing fee to get the amount.",Loan_Credit_Scam,"loan approved,rs",0,0,0,0,0,0,0,0,1
C011,This is a reminder that your electricity bill is due tomorrow. Please pay to avoid disconnection.,Legit_Call,"reminder,bill",0,0,0,0,0,0,0,0,0
C012,"Sir, main aapke friend ka dost bol raha hu, woh hospital mein hai. Urgent Rs. 15,000 UPI kar do.",Social_Engineering,"urgent,rs,upi",0,0,0,0,1,0,0,0,1
C013,We have noticed suspicious login to your email from another country. Share your password to secure it now.,Tech_Support_Scam,"email,login,password,urgent",0,1,0,0,1,1,1,0,1
C014,Aapne ek iPhone jeeta hai! Prize claim karne ke liye diye gaye link par click karein.,Prize_Lottery_Scam,"won,prize,click link",0,0,1,0,0,0,0,0,1
C015,"Your debit card will be blocked in 2 hours. To prevent this, please confirm the OTP 9876.",Banking_Fraud,"account blocked,otp",1,0,0,0,1,1,0,1,1
C016,Your food order has been picked up and will be delivered in 20 minutes.,Legit_Call,"order,delivered",0,0,0,0,0,0,0,0,0
C017,"Sir, your computer is sending error signals. Install TeamViewer so our technician can check it.",Tech_Support_Scam,"teamviewer,remote access",0,0,0,1,0,1,0,0,1
C018,Apka PAN card Aadhaar se link nahi hai. Legal notice se bachne ke liye details share karein.,Threat_Legal,"pan,aadhaar,legal notice",0,0,0,0,0,1,0,0,1
C019,I am calling from the bank's fraud department. Please share the OTP to stop a fraudulent transaction.,Banking_Fraud,"otp,share otp",1,0,0,0,0,1,0,0,1
C020,Galti se aapko PhonePe par paise bhej diye hain. Please check karke refund kar dijiye.,UPI_Payment_Scam,"phonepe,refund",0,0,0,0,0,0,0,0,1
C021,"Hello, this is to confirm your doctor's appointment for tomorrow at 10 AM.",Legit_Call,"appointment,confirm",0,0,0,0,0,0,0,0,0
C022,This is the RBI calling. Your bank account needs immediate verification. Share all your card details now.,Banking_Fraud,"rbi,verification",0,0,0,0,1,1,0,0,1
C023,Your credit card limit can be increased. Just tell me the OTP you just received.,Loan_Credit_Scam,"loan,otp",1,0,0,0,0,0,0,0,1
C024,Thank you for contacting customer support. Your issue with ticket number 55432 has been resolved.,Legit_Call,customer support,0,0,0,0,0,0,0,0,0
C025,"To receive Rs. 25,000 in your account via UPI, please enter your PIN on the link we sent.",UPI_Payment_Scam,"rs,upi,click link",0,0,1,0,0,0,0,0,1
C026,Someone is trying to reset your Gmail password. Provide the OTP 456123 to block them.,Tech_Support_Scam,"gmail,password,otp",1,1,0,0,1,1,1,1,1
C027,"I am a lawyer. There is a legal case against you. Pay Rs. 50,000 to settle it out of court.",Threat_Legal,"legal notice,rs",0,0,0,0,0,1,0,0,1
C028,"Beta, I am your uncle from the village. I am in trouble, please send money to this number.",Social_Engineering,urgent,0,0,0,0,1,0,0,0,1
C029,"You have won a lottery of Rs. 1 Crore. Please deposit Rs. 25,000 for tax and processing.",Prize_Lottery_Scam,"won,rs",0,0,0,0,0,0,0,0,1
